ID,Educacion,Sexo,Tipo_Empleo,Experiencia,Estado_civil,Edad,Utilizacion_tarjetas,Numero_entidades,Default
Cid00100,Estudios Universitarios,F,Trabajador Pago Planilla,29,Soltero,24,5,3,0
Cid00101,Estudios Universitarios,F,Trabajador Pago Planilla,18,Soltero,24,94,5 o +,0
Cid00102,Estudios Tecnicos,F,Trabajador Pago Planilla,21,Soltero,24,61,5 o +,0
Cid00103,Estudios Tecnicos,F,Emprendedor,39,Soltero,24,79,5 o +,0
Cid00104,Estudios Universitarios,M,Trabajador Pago Planilla,10,Soltero,24,51,5 o +,0
Cid00105,Estudios Tecnicos,F,Trabajador Pago Planilla,10,Soltero,24,28,4,0
Cid00106,Estudios Universitarios,F,Trabajador Pago Planilla,13,Casado,24,62,5 o +,1
Cid00107,Estudios Universitarios,F,Trabajador Pago Planilla,83,Casado,24,48,5 o +,0
Cid00108,Estudios Tecnicos,F,Trabajador Pago Planilla,18,Soltero,24,32,3,0
Cid00109,Estudios Universitarios,F,Trabajador Pago Planilla,7,Soltero,24,18,5 o +,0
Cid00110,Estudios Universitarios,M,Trabajador Pago Planilla,12,Soltero,24,0,4,0
Cid00111,Estudios Tecnicos,F,Trabajador Pago Planilla,27,Soltero,24,0,5 o +,0
Cid00112,Estudios Universitarios,F,Trabajador Pago Planilla,7,Soltero,24,60,4,1
Cid00113,Estudios Tecnicos,M,Emprendedor,18,Soltero,24,35,5 o +,0
Cid00114,Estudios Universitarios,F,Trabajador Pago Planilla,36,Soltero,24,64,4,0
Cid00115,Estudios Tecnicos,F,Trabajador Pago Planilla,23,Soltero,24,33,5 o +,0
Cid00116,Estudios Tecnicos,F,Trabajador Pago Planilla,25,Soltero,24,37,4,1
Cid00117,Estudios Universitarios,F,Trabajador Pago Planilla,30,Soltero,24,38,5 o +,0
Cid00118,Estudios Tecnicos,M,Trabajador Pago Planilla,62,Soltero,24,16,5 o +,0
Cid00119,Estudios Universitarios,F,Trabajador Pago Planilla,25,Soltero,24,35,4,0
Cid00120,Estudios Tecnicos,F,Trabajador Pago Planilla,9,Soltero,24,50,5 o +,0
Cid00121,Estudios Tecnicos,M,Trabajador Pago Planilla,6,Soltero,24,24,5 o +,1
Cid00122,Estudios Universitarios,F,Emprendedor,26,Soltero,24,56,4,0
Cid00123,Estudios Universitarios,F,Trabajador Pago Planilla,25,Soltero,24,44,3,0
Cid00124,Estudios Universitarios,M,Trabajador Pago Planilla,42,Soltero,24,23,5 o +,1
Cid00125,Estudios Tecnicos,F,Trabajador Pago Planilla,30,Soltero,24,26,2,0
Cid00126,Estudios Tecnicos,M,Trabajador Pago Planilla,56,Soltero,24,0,5 o +,0
Cid00127,Estudios Tecnicos,F,Trabajador Pago Planilla,9,Soltero,24,7,4,0
Cid00128,Estudios Universitarios,F,Trabajador Pago Planilla,14,Soltero,24,0,5 o +,0
Cid00129,Estudios Universitarios,F,Trabajador Pago Planilla,11,Soltero,24,72,4,1
Cid00130,Estudios Universitarios,F,Recibo por Honorarios,27,Soltero,24,56,5 o +,0
Cid00131,Estudios Escolares,M,Trabajador Pago Planilla,22,Soltero,24,13,4,0
Cid00132,Estudios Universitarios,F,Trabajador Pago Planilla,8,Soltero,24,39,4,1
Cid00133,Estudios Universitarios,F,Emprendedor,35,Soltero,24,20,4,0
Cid00134,Estudios Universitarios,F,Recibo por Honorarios,75,Soltero,24,19,5 o +,0
Cid00135,Estudios Escolares,M,Trabajador Pago Planilla,45,Soltero,24,5,3,0
Cid00136,Estudios Tecnicos,F,Trabajador Pago Planilla,6,Union Libre,24,6,5 o +,1
Cid00137,Estudios Universitarios,F,Trabajador Pago Planilla,43,Soltero,24,0,3,0
Cid00138,Estudios Universitarios,F,Trabajador Pago Planilla,39,Soltero,24,0,5 o +,1
Cid00139,Estudios Universitarios,M,Trabajador Pago Planilla,27,Soltero,24,94,4,1
Cid00140,Estudios Tecnicos,M,Trabajador Pago Planilla,49,Soltero,24,41,5 o +,1
Cid00141,Estudios Tecnicos,F,Trabajador Pago Planilla,11,Union Libre,24,56,5 o +,0
Cid00142,Estudios Universitarios,F,Trabajador Pago Planilla,24,Soltero,24,33,5 o +,1
Cid00143,Estudios Tecnicos,F,Fuerzas Armadas,52,Soltero,24,88,5 o +,0
Cid00144,Estudios Tecnicos,M,Trabajador Pago Planilla,39,Soltero,24,33,5 o +,1
Cid00145,Estudios Tecnicos,F,Informal,23,Soltero,24,38,4,0
Cid00146,Estudios Universitarios,M,Trabajador Pago Planilla,17,Soltero,24,50,3,0
Cid00147,Estudios Tecnicos,M,Trabajador Pago Planilla,22,Soltero,24,30,3,0
Cid00148,Estudios Universitarios,F,Trabajador Pago Planilla,12,Soltero,24,39,4,0
Cid00149,Estudios Universitarios,M,Recibo por Honorarios,123,Soltero,24,20,3,0
Cid00150,Estudios Universitarios,F,Trabajador Pago Planilla,8,Soltero,24,14,3,0
Cid00151,Estudios Universitarios,F,Trabajador Pago Planilla,49,Soltero,24,1,4,0
Cid00152,Estudios Universitarios,F,Trabajador Pago Planilla,15,Soltero,24,0,4,0
Cid00153,Estudios Tecnicos,F,Informal,50,Soltero,24,47,4,0
Cid00154,Estudios Universitarios,M,Trabajador Pago Planilla,15,Soltero,24,36,4,0
Cid00155,Estudios Tecnicos,F,Recibo por Honorarios,28,Soltero,24,21,5 o +,0
Cid00156,Estudios Universitarios,M,Trabajador Pago Planilla,38,Soltero,24,50,3,0
Cid00157,Estudios Universitarios,F,Trabajador Pago Planilla,15,Soltero,24,12,4,0
Cid00158,Estudios Tecnicos,M,Fuerzas Armadas,58,Soltero,24,16,5 o +,0
Cid00159,Estudios Tecnicos,F,Trabajador Pago Planilla,63,Soltero,24,0,4,0
Cid00160,Estudios Universitarios,F,Trabajador Pago Planilla,8,Soltero,24,1,4,0
Cid00161,Estudios Universitarios,F,Trabajador Pago Planilla,19,Soltero,24,0,4,0
Cid00162,Estudios Tecnicos,M,Trabajador Pago Planilla,24,Soltero,24,55,5 o +,1
Cid00163,Estudios Universitarios,M,Trabajador Pago Planilla,31,Soltero,24,97,5 o +,0
Cid00164,Estudios Universitarios,M,Emprendedor,82,Soltero,24,73,4,1
Cid00165,Estudios Universitarios,M,Trabajador Pago Planilla,11,Soltero,24,56,5 o +,0
Cid00166,Estudios Universitarios,F,Trabajador Pago Planilla,26,Soltero,24,25,2,0
Cid00167,Estudios Universitarios,F,Trabajador Pago Planilla,14,Soltero,24,0,5 o +,0
Cid00168,Estudios Universitarios,F,Trabajador Pago Planilla,9,Soltero,24,83,5 o +,0
Cid00169,Estudios Universitarios,M,Trabajador Pago Planilla,17,Soltero,24,100,5 o +,1
Cid00170,Estudios Universitarios,M,Trabajador Pago Planilla,8,Soltero,24,60,3,1
Cid00171,Estudios Universitarios,M,Trabajador Pago Planilla,17,Soltero,24,43,5 o +,0
Cid00172,Estudios Universitarios,F,Trabajador Pago Planilla,19,Soltero,24,63,4,0
Cid00173,Estudios Tecnicos,F,Trabajador Pago Planilla,28,Soltero,24,53,3,1
Cid00174,Estudios Escolares,M,Trabajador Pago Planilla,16,Soltero,24,12,3,0
Cid00175,Estudios Universitarios,F,Emprendedor,78,Divorciado,24,38,4,0
Cid00176,Estudios Universitarios,F,Trabajador Pago Planilla,18,Soltero,24,44,3,0
Cid00177,Estudios Universitarios,F,Informal,106,Soltero,24,32,3,0
Cid00178,Estudios Tecnicos,F,Informal,12,Soltero,24,8,5 o +,0
Cid00179,Estudios Tecnicos,F,Emprendedor,12,Soltero,24,10,5 o +,0
Cid00180,Estudios Universitarios,F,Trabajador Pago Planilla,26,Soltero,24,11,3,1
Cid00181,Estudios Universitarios,F,Recibo por Honorarios,15,Soltero,24,0,5 o +,1
Cid00182,Estudios Universitarios,M,Trabajador Pago Planilla,31,Soltero,24,0,5 o +,0
Cid00183,Estudios Tecnicos,F,Informal,159,Soltero,24,78,5 o +,1
Cid00184,Estudios Tecnicos,F,Informal,73,Soltero,24,18,3,0
Cid00185,Estudios Tecnicos,M,Trabajador Pago Planilla,41,Casado,24,31,3,0
Cid00186,Estudios Universitarios,M,Trabajador Pago Planilla,11,Soltero,24,12,4,0
Cid00187,Estudios Tecnicos,M,Trabajador Pago Planilla,21,Soltero,24,8,4,0
Cid00188,Estudios Tecnicos,M,Trabajador Pago Planilla,21,Soltero,24,10,1,0
Cid00189,Estudios Universitarios,F,Trabajador Pago Planilla,62,Soltero,24,4,5 o +,0
Cid00190,Estudios Universitarios,M,Recibo por Honorarios,28,Soltero,24,1,4,0
Cid00191,Estudios Universitarios,M,Recibo por Honorarios,20,Soltero,24,59,5 o +,0
Cid00192,Estudios Universitarios,M,Trabajador Pago Planilla,46,Soltero,24,50,5 o +,1
Cid00193,Estudios Tecnicos,F,Trabajador Pago Planilla,39,Soltero,24,44,5 o +,0
Cid00194,Estudios Universitarios,F,Trabajador Pago Planilla,35,Soltero,24,43,4,0
Cid00195,Estudios Escolares,M,Trabajador Pago Planilla,27,Soltero,24,0,5 o +,1
Cid00196,Estudios Universitarios,M,Trabajador Pago Planilla,21,Soltero,24,0,5 o +,0
Cid00197,Estudios Universitarios,M,Trabajador Pago Planilla,21,Soltero,24,0,5 o +,0
Cid00198,Estudios Tecnicos,F,Trabajador Pago Planilla,18,Soltero,24,0,5 o +,0
Cid00199,Estudios Universitarios,M,Trabajador Pago Planilla,28,Soltero,24,50,4,0
Cid00200,Estudios Universitarios,M,Trabajador Pago Planilla,8,Soltero,24,38,5 o +,1
Cid00201,Estudios Universitarios,F,Trabajador Pago Planilla,9,Soltero,24,68,5 o +,0
Cid00202,Estudios Universitarios,F,Trabajador Pago Planilla,51,Soltero,24,46,3,0
Cid00203,Estudios Universitarios,F,Trabajador Pago Planilla,6,Soltero,24,11,4,0
Cid00204,Estudios Universitarios,M,Trabajador Pago Planilla,74,Soltero,24,0,5 o +,1
Cid00205,Estudios Universitarios,F,Trabajador Pago Planilla,14,Soltero,24,81,4,0
Cid00206,Estudios Tecnicos,F,Trabajador Pago Planilla,17,Soltero,24,48,3,0
Cid00207,Estudios Universitarios,M,Trabajador Pago Planilla,58,Soltero,24,60,1,0
Cid00208,Estudios Universitarios,F,Trabajador Pago Planilla,12,Casado,24,67,3,0
Cid00209,Estudios Tecnicos,F,Informal,26,Casado,24,27,4,0
Cid00210,Estudios Universitarios,F,Trabajador Pago Planilla,14,Soltero,24,26,4,0
Cid00211,Estudios Tecnicos,F,Trabajador Pago Planilla,6,Soltero,24,11,2,0
Cid00212,Estudios Escolares,M,Trabajador Pago Planilla,57,Soltero,24,14,2,1
Cid00213,Estudios Tecnicos,F,Trabajador Pago Planilla,61,Soltero,24,12,2,0
Cid00214,Estudios Tecnicos,F,Trabajador Pago Planilla,45,Casado,24,7,5 o +,0
Cid00215,Estudios Universitarios,F,Trabajador Pago Planilla,41,Soltero,24,13,3,0
Cid00216,Estudios Posgrado,F,Trabajador Pago Planilla,48,Soltero,24,0,5 o +,0
Cid00217,Estudios Universitarios,F,Trabajador Pago Planilla,17,Casado,24,10,5 o +,0
Cid00218,Estudios Universitarios,F,Trabajador Pago Planilla,15,Soltero,24,95,5 o +,0
Cid00219,Estudios Universitarios,F,Trabajador Pago Planilla,11,Casado,24,95,4,0
Cid00220,Estudios Universitarios,M,Emprendedor,75,Soltero,24,28,5 o +,0
Cid00221,Estudios Universitarios,F,Recibo por Honorarios,24,Soltero,24,50,5 o +,1
Cid00222,Estudios Tecnicos,F,Trabajador Pago Planilla,41,Union Libre,24,56,2,0
Cid00223,Estudios Tecnicos,M,Trabajador Pago Planilla,168,Soltero,24,27,4,0
Cid00224,Estudios Tecnicos,F,Trabajador Pago Planilla,20,Soltero,24,0,4,0
Cid00225,Estudios Tecnicos,F,Trabajador Pago Planilla,33,Soltero,24,63,5 o +,0
Cid00226,Estudios Universitarios,F,Trabajador Pago Planilla,30,Soltero,24,90,5 o +,0
Cid00227,Estudios Universitarios,M,Trabajador Pago Planilla,7,Soltero,24,56,4,0
Cid00228,Estudios Universitarios,F,Trabajador Pago Planilla,35,Soltero,24,41,5 o +,0
Cid00229,Estudios Tecnicos,F,Trabajador Pago Planilla,41,Union Libre,24,24,3,0
Cid00230,Estudios Tecnicos,F,Trabajador Pago Planilla,102,Soltero,24,5,3,0
Cid00231,Estudios Universitarios,M,Trabajador Pago Planilla,7,Soltero,24,10,3,0
Cid00232,Estudios Universitarios,F,Emprendedor,60,Soltero,24,7,3,0
Cid00233,Estudios Universitarios,F,Trabajador Pago Planilla,20,Soltero,24,88,5 o +,0
Cid00234,Estudios Universitarios,F,Recibo por Honorarios,41,Soltero,24,89,4,0
Cid00235,Estudios Universitarios,F,Trabajador Pago Planilla,47,Soltero,24,87,4,0
Cid00236,Estudios Universitarios,F,Trabajador Pago Planilla,38,Soltero,24,108,5 o +,1
Cid00237,Estudios Universitarios,M,Recibo por Honorarios,42,Soltero,24,71,3,0
Cid00238,Estudios Tecnicos,M,Trabajador Pago Planilla,83,Soltero,24,30,5 o +,1
Cid00239,Estudios Tecnicos,F,Trabajador Pago Planilla,9,Soltero,24,19,5 o +,0
Cid00240,Estudios Universitarios,F,Trabajador Pago Planilla,12,Soltero,24,22,3,1
Cid00241,Estudios Universitarios,M,Trabajador Pago Planilla,24,Soltero,24,21,5 o +,0
Cid00242,Estudios Universitarios,F,Trabajador Pago Planilla,20,Union Libre,24,34,3,1
Cid00243,Estudios Universitarios,F,Trabajador Pago Planilla,49,Soltero,24,0,4,0
Cid00244,Estudios Universitarios,M,Trabajador Pago Planilla,12,Soltero,24,6,4,0
Cid00245,Estudios Universitarios,M,Recibo por Honorarios,27,Soltero,24,53,5 o +,0
Cid00246,Estudios Universitarios,M,Trabajador Pago Planilla,15,Soltero,24,29,5 o +,1
Cid00247,Estudios Tecnicos,F,Trabajador Pago Planilla,35,Casado,24,34,3,0
Cid00248,Estudios Universitarios,M,Trabajador Pago Planilla,63,Soltero,24,5,3,0
Cid00249,Estudios Universitarios,M,Trabajador Pago Planilla,18,Soltero,25,87,4,1
Cid00250,Estudios Tecnicos,F,Trabajador Pago Planilla,30,Soltero,25,59,5 o +,0
Cid00251,Estudios Tecnicos,F,Trabajador Pago Planilla,24,Soltero,25,43,3,0
Cid00252,Estudios Tecnicos,F,Trabajador Pago Planilla,31,Soltero,25,44,5 o +,0
Cid00253,Estudios Universitarios,F,Trabajador Pago Planilla,7,Soltero,25,31,4,0
Cid00254,Estudios Tecnicos,F,Trabajador Pago Planilla,55,Soltero,25,33,2,0
Cid00255,Estudios Tecnicos,M,Trabajador Pago Planilla,55,Casado,25,42,1,0
Cid00256,Estudios Tecnicos,M,Trabajador Pago Planilla,28,Union Libre,25,2,4,0
Cid00257,Estudios Tecnicos,F,Trabajador Pago Planilla,23,Soltero,25,0,5 o +,0
Cid00258,Estudios Tecnicos,M,Trabajador Pago Planilla,52,Union Libre,25,10,3,0
Cid00259,Estudios Universitarios,F,Trabajador Pago Planilla,63,Soltero,25,4,4,0
Cid00260,Estudios Universitarios,F,Trabajador Pago Planilla,25,Soltero,25,9,4,1
Cid00261,Estudios Universitarios,F,Trabajador Pago Planilla,8,Soltero,25,0,2,0
Cid00262,Estudios Tecnicos,F,Informal,35,Soltero,25,85,5 o +,1
Cid00263,Estudios Tecnicos,M,Trabajador Pago Planilla,87,Soltero,25,59,3,1
Cid00264,Estudios Universitarios,M,Trabajador Pago Planilla,36,Soltero,25,75,4,0
Cid00265,Estudios Tecnicos,M,Trabajador Pago Planilla,7,Soltero,25,52,5 o +,0
